kanji,kana,prefecture,level,description,hoge,fuga,hint
神威岬,かむいみさき,北海道,1,断崖絶壁の海岸。,2017-02-02 14:44:53.26816,2017-02-02 14:44:53.26816,1
霧多布,きりたっぷ,北海道,1,太平洋に面する国内5番目の湿原。「花の湿原」とも呼ばれる。,2017-02-02 14:44:53.271803,2017-02-02 14:44:53.271803,1
五稜郭,ごりょうかく,北海道,1,江戸末期の様式の城跡。,2017-02-02 14:44:53.27546,2017-02-02 14:44:53.27546,1
根釧原野,こんせんげんや,北海道,1,数少ない原野。,2017-02-02 14:44:53.278996,2017-02-02 14:44:53.278996,1
雌阿寒,めあかん,北海道,1,原生林にわく湯。,2017-02-02 14:44:53.307382,2017-02-02 14:44:53.307382,1
長都,おさつ,北海道,1,千歳（ちとせ）線,2017-02-02 14:44:53.353872,2017-02-02 14:44:53.353872,1
札苅,さつかり,北海道,1,江差線,2017-02-02 14:44:53.421258,2017-02-02 14:44:53.421258,1
下徳富,しもとっぷ,北海道,1,札沼線,2017-02-02 14:44:53.431087,2017-02-02 14:44:53.431087,1
母恋,ぼこい,北海道,1,室蘭（むろらん）線,2017-02-02 14:44:53.435861,2017-02-02 14:44:53.435861,1
稚内,わっかない,北海道,1,宗谷本線。日本最北端の駅。,2017-02-02 14:44:53.449924,2017-02-02 14:44:53.449924,1
酸ヶ湯,すかゆ,青森県,1,八甲田山中の温泉。,2017-02-02 14:44:53.498923,2017-02-02 14:44:53.498923,1
薬研,やげん,青森県,1,渓流沿いの温泉。,2017-02-02 14:44:53.54081,2017-02-02 14:44:53.54081,1
高清水,たかしず,青森県,1,十和田観光電鉄,2017-02-02 14:44:53.611891,2017-02-02 14:44:53.611891,1
千年,ちとせ,青森県,1,弘南鉄道大鰐（おおわに）線,2017-02-02 14:44:53.649727,2017-02-02 14:44:53.649727,1
深郷田,ふこうだ,青森県,1,津軽鉄道,2017-02-02 14:44:53.662481,2017-02-02 14:44:53.662481,1
江釣子,えづりこ,岩手県,1,北上線,2017-02-02 14:44:53.818621,2017-02-02 14:44:53.818621,1
甫嶺,ほれい,岩手県,1,三陸鉄道南リアス線,2017-02-02 14:44:53.900487,2017-02-02 14:44:53.900487,1
上鹿折,かみししおり,宮城県,1,大船渡（おおふなと）線,2017-02-02 14:44:54.02296,2017-02-02 14:44:54.02296,1
渡波,わたのは,宮城県,1,石巻線,2017-02-02 14:44:54.064362,2017-02-02 14:44:54.064362,1
上野幌,かみのっぽろ,北海道,2,千歳線,2017-02-02 14:44:53.410589,2017-02-05 22:51:27.715113,1
大楽毛,おたのしけ,北海道,2,根室（ねむろ）本線,2017-02-02 14:44:53.375099,2017-02-02 14:58:53.842343,1
晩生内,おそきない,北海道,3,札沼（さっしょう）線,2017-02-02 14:44:53.366055,2017-02-02 14:59:05.948117,1
掛澗,かかりま,北海道,2,函館本線,2017-02-02 14:44:53.404256,2017-02-03 00:49:10.615215,1
瀬辺地,せへじ,青森県,2,津軽（つがる）線,2017-02-02 14:44:53.582265,2017-02-03 00:51:21.740704,1
風合瀬,かそせ,青森県,3,五能（ごのう）線,2017-02-02 14:44:53.566337,2017-02-02 15:00:13.791311,1
安家洞,あっかどう,岩手県,2,日本で最長の鍾乳洞。,2017-02-02 14:44:53.701806,2017-02-03 00:51:49.258147,1
花原市,けばらいち,岩手県,2,山田線,2017-02-02 14:44:53.863034,2017-02-02 15:00:52.226627,1
鹿又,かのまた,宮城県,2,石巻（いしのまき）線,2017-02-02 14:44:54.018977,2017-02-05 23:02:56.032485,1
秋保,あきう,宮城県,2,奥州三名湯。,2017-02-02 14:44:53.924193,2017-02-02 15:16:03.165339,1
安足間,あんたろま,北海道,3,石北本線,2017-02-02 14:44:53.325992,2017-02-05 22:50:19.30929,1
